chlorides,quality
0.012,7
0.012,7
0.034,6
0.038,6
0.038,7
0.039,6
0.039,6
0.039,6
0.039,5
0.040999999999999995,6
0.040999999999999995,7
0.040999999999999995,5
0.040999999999999995,6
0.042,5
0.042,7
0.042,6
0.043,6
0.044000000000000004,7
0.044000000000000004,8
0.044000000000000004,6
0.044000000000000004,7
0.044000000000000004,6
0.045,4
0.045,6
0.045,5
0.045,8
0.046,6
0.046,6
0.046,6
0.046,7
0.047,5
0.047,5
0.047,6
0.047,6
0.048,5
0.048,7
0.048,7
0.048,7
0.048,6
0.048,5
0.048,6
0.048,7
0.049,5
0.049,5
0.049,6
0.049,5
0.049,6
0.049,6
0.049,5
0.049,5
0.05,6
0.05,5
0.05,6
0.05,7
0.05,5
0.05,4
0.05,6
0.05,5
0.05,6
0.05,7
0.05,6
0.05,7
0.051,6
0.052000000000000005,6
0.052000000000000005,7
0.052000000000000005,6
0.052000000000000005,7
0.052000000000000005,6
0.052000000000000005,6
0.052000000000000005,5
0.052000000000000005,7
0.052000000000000005,7
0.052000000000000005,7
0.053,5
0.053,6
0.053,5
0.053,5
0.053,5
0.054000000000000006,7
0.054000000000000006,6
0.054000000000000006,6
0.054000000000000006,6
0.054000000000000006,7
0.054000000000000006,4
0.054000000000000006,7
0.054000000000000006,4
0.054000000000000006,7
0.054000000000000006,7
0.054000000000000006,7
0.054000000000000006,5
0.054000000000000006,5
0.055,5
0.055,7
0.055,6
0.055,6
0.055,5
0.055,7
0.055,5
0.055,7
0.055999999999999994,5
0.055999999999999994,7
0.055999999999999994,6
0.055999999999999994,6
0.055999999999999994,6
0.055999999999999994,5
0.055999999999999994,5
0.055999999999999994,8
0.055999999999999994,6
0.057,5
0.057,4
0.057,5
0.057,5
0.057,5
0.057,6
0.057,6
0.057,4
0.057,6
0.057,7
0.057999999999999996,7
0.057999999999999996,5
0.057999999999999996,4
0.057999999999999996,6
0.057999999999999996,4
0.057999999999999996,5
0.057999999999999996,5
0.057999999999999996,7
0.057999999999999996,6
0.057999999999999996,6
0.057999999999999996,6
0.057999999999999996,6
0.057999999999999996,6
0.057999999999999996,6
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,5
0.059000000000000004,6
0.059000000000000004,5
0.059000000000000004,5
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,6
0.059000000000000004,7
0.059000000000000004,6
0.059000000000000004,7
0.059000000000000004,7
0.059000000000000004,6
0.06,7
0.06,7
0.06,4
0.06,6
0.06,5
0.06,7
0.06,8
0.06,6
0.06,4
0.06,5
0.06,6
0.06,6
0.06,6
0.06,7
0.06,5
0.06,7
0.061,5
0.061,4
0.061,8
0.061,7
0.061,6
0.061,6
0.061,7
0.061,7
0.061,6
0.061,3
0.061,6
0.062,7
0.062,5
0.062,7
0.062,5
0.062,5
0.062,7
0.062,7
0.062,6
0.062,5
0.062,6
0.062,6
0.062,5
0.062,7
0.062,6
0.062,5
0.062,6
0.062,7
0.062,7
0.062,6
0.062,6
0.062,7
0.062,6
0.062,6
0.062,6
0.063,5
0.063,6
0.063,7
0.063,6
0.063,5
0.063,5
0.063,6
0.063,5
0.063,7
0.063,6
0.063,6
0.063,6
0.063,6
0.063,6
0.063,7
0.063,7
0.063,7
0.063,6
0.063,6
0.063,6
0.063,6
0.063,5
0.064,6
0.064,6
0.064,6
0.064,7
0.064,6
0.064,5
0.064,6
0.064,6
0.064,7
0.064,7
0.064,6
0.064,6
0.064,5
0.064,6
0.064,6
0.064,5
0.064,6
0.064,6
0.064,5
0.064,7
0.065,6
0.065,6
0.065,5
0.065,5
0.065,6
0.065,6
0.065,7
0.065,7
0.065,7
0.065,6
0.065,5
0.065,5
0.065,6
0.065,6
0.065,6
0.065,7
0.065,6
0.065,6
0.065,6
0.065,6
0.065,5
0.065,8
0.065,6
0.066,6
0.066,5
0.066,7
0.066,5
0.066,6
