free sulfur dioxide,quality
1.0,6
1.0,6
1.0,6
2.0,6
3.0,6
3.0,7
3.0,6
3.0,4
3.0,7
3.0,6
3.0,8
3.0,5
3.0,5
3.0,7
3.0,5
3.0,6
3.0,6
3.0,6
3.0,5
3.0,5
3.0,5
3.0,6
3.0,5
3.0,5
3.0,5
3.0,7
3.0,5
3.0,3
3.0,4
3.0,5
3.0,7
3.0,5
3.0,6
3.0,6
3.0,7
3.0,6
3.0,6
3.0,7
3.0,6
3.0,7
3.0,6
3.0,4
3.0,7
3.0,7
3.0,5
3.0,6
3.0,6
3.0,6
3.0,6
3.0,5
3.0,7
3.0,5
3.0,5
4.0,6
4.0,5
4.0,6
4.0,5
4.0,7
4.0,4
4.0,5
4.0,5
4.0,5
4.0,6
4.0,5
4.0,7
4.0,4
4.0,7
4.0,6
4.0,7
4.0,5
4.0,6
4.0,5
4.0,4
4.0,7
4.0,5
4.0,5
4.0,5
4.0,5
4.0,4
4.0,6
4.0,6
4.0,6
4.0,4
4.0,5
4.0,5
4.0,6
4.0,6
4.0,6
4.0,7
4.0,5
4.0,5
4.0,5
4.0,7
4.0,5
5.0,5
5.0,6
5.0,6
5.0,6
5.0,6
5.0,5
5.0,4
5.0,6
5.0,6
5.0,6
5.0,5
5.0,5
5.0,5
5.0,6
5.0,6
5.0,5
5.0,7
5.0,5
5.0,6
5.0,5
5.0,5
5.0,7
5.0,8
5.0,5
5.0,5
5.0,6
5.0,7
5.0,7
5.0,6
5.0,6
5.0,6
5.0,5
5.0,5
5.0,5
5.0,6
5.0,7
5.0,3
5.0,5
5.0,5
5.0,6
5.0,6
5.0,5
5.0,5
5.0,5
5.0,5
5.0,6
5.0,6
5.0,4
5.0,6
5.0,5
5.0,5
5.0,5
5.0,4
5.0,5
5.0,4
5.0,5
5.0,5
5.0,5
5.0,5
5.0,6
5.0,6
5.0,7
5.0,7
5.0,5
5.0,7
5.0,6
5.0,4
5.0,5
5.0,5
5.0,7
5.0,5
5.0,8
5.0,8
5.0,6
5.0,6
5.0,3
5.0,5
5.0,5
5.0,6
5.0,7
5.0,5
5.0,6
5.0,5
5.0,6
5.0,7
5.0,6
5.0,5
5.0,6
5.0,6
5.0,6
5.0,6
5.0,5
5.0,6
5.0,6
5.0,5
5.0,6
5.0,5
5.0,5
5.0,5
5.0,5
5.0,5
5.0,5
5.0,5
5.0,3
5.5,6
6.0,7
6.0,5
6.0,5
6.0,5
6.0,5
6.0,7
6.0,7
6.0,6
6.0,6
6.0,7
6.0,7
6.0,7
6.0,6
6.0,7
6.0,7
6.0,6
6.0,6
6.0,5
6.0,6
6.0,7
6.0,6
6.0,6
6.0,5
6.0,6
6.0,6
6.0,6
6.0,6
6.0,6
6.0,5
6.0,6
6.0,6
6.0,7
6.0,6
6.0,4
6.0,5
6.0,6
6.0,6
6.0,6
6.0,4
6.0,6
6.0,4
6.0,5
6.0,7
6.0,5
6.0,8
6.0,5
6.0,6
6.0,5
6.0,5
6.0,5
6.0,5
6.0,7
6.0,7
6.0,6
6.0,7
6.0,7
6.0,7
6.0,6
6.0,4
6.0,6
6.0,5
6.0,4
6.0,5
6.0,6
6.0,6
6.0,6
6.0,6
6.0,5
6.0,6
6.0,6
6.0,6
6.0,6
6.0,7
6.0,3
6.0,6
6.0,7
6.0,5
6.0,5
6.0,6
6.0,8
6.0,7
6.0,7
6.0,6
6.0,7
6.0,5
6.0,6
6.0,8
6.0,6
6.0,5
6.0,5
6.0,6
6.0,5
6.0,6
6.0,6
6.0,6
6.0,6
6.0,6
6.0,6
6.0,5
6.0,6
6.0,6
6.0,7
6.0,6
6.0,7
6.0,5
6.0,3
6.0,6
6.0,6
6.0,6
6.0,6
6.0,5
6.0,6
6.0,5
6.0,6
6.0,6
6.0,5
6.0,6
6.0,7
6.0,6
6.0,5
6.0,6
6.0,5
6.0,5
6.0,6
6.0,5
6.0,6
6.0,6
6.0,5
6.0,4
6.0,8
6.0,5
6.0,6
6.0,4
6.0,6
6.0,7
6.0,6
6.0,6
6.0,7
7.0,5
7.0,5
7.0,6
7.0,5
7.0,6
7.0,5
7.0,6
7.0,5
7.0,7
7.0,7
7.0,5
7.0,6
7.0,4
7.0,4
7.0,5
7.0,5
7.0,5
7.0,5
7.0,5
7.0,5
7.0,7
7.0,5
7.0,5
7.0,6
7.0,5
7.0,5
7.0,7
7.0,6
7.0,5
7.0,6
7.0,6
7.0,5
7.0,7
7.0,6
7.0,5
7.0,5
7.0,5
7.0,6
7.0,6
7.0,6
7.0,5
7.0,6
7.0,5
7.0,7
7.0,6
7.0,6
7.0,6
7.0,5
7.0,6
7.0,7
7.0,7
7.0,6
7.0,5
7.0,6
7.0,6
7.0,6
7.0,6
7.0,5
7.0,5
7.0,6
7.0,5
7.0,5
7.0,6
7.0,8
7.0,6
7.0,4
7.0,6
7.0,7
7.0,7
7.0,7
7.0,5
8.0,8
8.0,5
8.0,6
8.0,5
8.0,5
8.0,5
8.0,6
8.0,6
8.0,5
8.0,5
8.0,6
8.0,6
8.0,5
8.0,6
8.0,6
8.0,6
8.0,6
8.0,5
8.0,6
8.0,6
8.0,6
8.0,7
8.0,5
8.0,5
8.0,6
8.0,6
8.0,6
8.0,6
8.0,6
8.0,5
8.0,6
8.0,5
8.0,5
8.0,6
8.0,6
8.0,6
8.0,6
8.0,6
8.0,5
8.0,5
8.0,5
8.0,6
8.0,5
8.0,4
8.0,6
8.0,5
8.0,6
8.0,6
8.0,5
8.0,5
8.0,5
8.0,6
8.0,5
8.0,6
8.0,6
8.0,5
9.0,5
9.0,5
9.0,7
9.0,6
9.0,6
9.0,6
9.0,7
9.0,6
9.0,5
9.0,6
9.0,6
9.0,7
9.0,5
9.0,5
9.0,5
9.0,5
9.0,6
9.0,5
9.0,6
9.0,5
9.0,5
9.0,7
9.0,6
9.0,5
9.0,6
9.0,6
9.0,5
9.0,5
9.0,6
9.0,7
9.0,5
9.0,6
9.0,5
9.0,5
9.0,5
9.0,6
9.0,5
9.0,5
9.0,6
9.0,5
9.0,7
9.0,6
9.0,5
9.0,5
9.0,5
9.0,5
9.0,4
9.0,7
9.0,7
9.0,5
9.0,5
9.0,6
9.0,7
9.0,7
9.0,5
9.0,4
9.0,6
9.0,5
9.0,6
9.0,5
9.0,5
9.0,7
10.0,5
10.0,5
10.0,6
10.0,5
10.0,6
10.0,5
10.0,6
10.0,7
10.0,5
10.0,5
10.0,7
10.0,5
10.0,5
10.0,5
10.0,6
10.0,5
10.0,7
10.0,5
10.0,5
10.0,5
10.0,5
10.0,5
10.0,5
10.0,7
10.0,6
10.0,7
10.0,6
10.0,6
10.0,6
10.0,5
10.0,5
10.0,5
10.0,6
10.0,6
10.0,6
10.0,6
10.0,5
10.0,5
10.0,6
10.0,5
10.0,6
10.0,7
10.0,5
10.0,7
10.0,7
10.0,5
10.0,6
10.0,7
10.0,5
10.0,5
10.0,7
10.0,5
10.0,7
10.0,7
10.0,5
10.0,5
10.0,5
10.0,5
10.0,7
10.0,6
10.0,6
10.0,5
10.0,5
10.0,3
10.0,5
10.0,6
10.0,7
10.0,7
10.0,6
10.0,5
10.0,6
10.0,5
10.0,5
10.0,7
10.0,6
10.0,5
10.0,5
10.0,6
10.0,7
11.0,6
11.0,7
11.0,5
11.0,6
11.0,5
11.0,6
11.0,6
11.0,5
11.0,6
11.0,5
11.0,4
11.0,5
11.0,6
11.0,5
11.0,5
11.0,7
11.0,7
11.0,7
11.0,6
11.0,6
11.0,7
11.0,5
11.0,6
11.0,6
11.0,5
11.0,4
11.0,5
11.0,6
11.0,7
11.0,7
11.0,4
11.0,5
11.0,5
11.0,6
11.0,6
11.0,5
11.0,6
11.0,7
11.0,4
11.0,5
11.0,6
11.0,6
11.0,5
11.0,5
11.0,5
11.0,6
11.0,6
11.0,6
11.0,6
11.0,5
11.0,4
11.0,6
11.0,6
11.0,6
11.0,5
11.0,6
11.0,6
11.0,6
11.0,5
12.0,5
12.0,5
12.0,5
12.0,5
12.0,7
12.0,6
12.0,5
12.0,6
12.0,6
12.0,6
12.0,7
12.0,6
12.0,6
12.0,5
12.0,5
12.0,6
12.0,5
12.0,5
12.0,5
12.0,5
12.0,6
12.0,6
12.0,5
12.0,5
12.0,5
12.0,6
12.0,7
12.0,5
12.0,5
12.0,6
12.0,7
12.0,5
12.0,7
12.0,4
12.0,8
12.0,7
12.0,6
12.0,7
12.0,5
12.0,6
12.0,7
12.0,6
12.0,5
12.0,6
12.0,7
12.0,5
12.0,6
12.0,7
12.0,5
12.0,7
12.0,6
12.0,5
12.0,6
12.0,6
12.0,5
12.0,4
12.0,7
12.0,4
12.0,5
12.0,5
12.0,5
12.0,5
12.0,5
12.0,5
12.0,5
12.0,6
12.0,6
12.0,5
12.0,5
12.0,5
12.0,5
12.0,6
12.0,5
12.0,5
12.0,5
13.0,5
13.0,7
13.0,7
13.0,5
13.0,5
13.0,6
13.0,7
13.0,5
13.0,5
13.0,6
13.0,6
13.0,6
13.0,6
13.0,5
13.0,4
13.0,7
13.0,7
13.0,5
13.0,6
13.0,5
13.0,6
13.0,5
13.0,6
13.0,6
13.0,6
13.0,6
13.0,5
13.0,7
13.0,5
13.0,5
13.0,5
13.0,6
13.0,5
13.0,5
13.0,5
