sulphates,quality
0.33,4
0.37,4
0.37,5
0.39,5
0.39,5
0.39,5
0.39,7
0.39,5
0.39,7
0.4,6
0.4,6
0.4,5
0.4,3
0.42,5
0.42,5
0.42,5
0.42,5
0.42,6
0.43,6
0.43,4
0.43,5
0.43,5
0.43,5
0.43,5
0.43,4
0.43,6
0.44,5
0.44,4
0.44,5
0.44,5
0.44,6
0.44,5
0.44,5
0.44,5
0.44,5
0.44,5
0.44,5
0.44,5
0.44,5
0.44,5
0.44,6
0.44,6
0.45,5
0.45,5
0.45,5
0.45,5
0.45,5
0.45,5
0.45,5
0.45,5
0.45,5
0.45,5
0.45,5
0.45,5
0.46,5
0.46,5
0.46,4
0.46,4
0.46,5
0.46,5
0.46,6
0.46,5
0.46,6
0.46,5
0.46,6
0.46,5
0.46,5
0.46,5
0.46,6
0.46,5
0.46,5
0.46,5
0.47,5
0.47,5
0.47,5
0.47,5
0.47,5
0.47,7
0.47,5
0.47,5
0.47,6
0.47,5
0.47,6
0.47,5
0.47,5
0.47,5
0.47,5
0.47,5
0.47,6
0.47,5
0.47,4
0.48,5
0.48,5
0.48,6
0.48,6
0.48,6
0.48,5
0.48,4
0.48,4
0.48,5
0.48,6
0.48,5
0.48,5
0.48,5
0.48,5
0.48,6
0.48,6
0.48,5
0.48,5
0.48,4
0.48,5
0.48,5
0.48,5
0.48,6
0.48,5
0.48,5
0.48,5
0.48,5
0.48,6
0.48,4
0.49,4
0.49,5
0.49,3
0.49,5
0.49,5
0.49,5
0.49,6
0.49,4
0.49,6
0.49,5
0.49,5
0.49,5
0.49,5
0.49,5
0.49,5
0.49,5
0.49,6
0.49,5
0.49,5
0.49,5
0.49,5
0.49,6
0.49,5
0.49,5
0.49,5
0.49,7
0.49,5
0.49,5
0.49,6
0.49,7
0.49,6
0.5,6
0.5,6
0.5,6
0.5,5
0.5,5
0.5,5
0.5,6
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,5
0.5,6
0.5,4
0.5,4
0.5,6
0.51,6
0.51,5
0.51,5
0.51,5
0.51,5
0.51,6
0.51,5
0.51,6
0.51,7
0.51,6
0.51,3
0.51,7
0.51,5
0.51,5
0.51,5
0.51,5
0.51,5
0.51,6
0.51,5
0.51,4
0.51,5
0.51,5
0.51,5
0.51,5
0.51,6
0.51,5
0.52,6
0.52,5
0.52,6
0.52,5
0.52,5
0.52,5
0.52,6
0.52,5
0.52,6
0.52,7
0.52,5
0.52,5
0.52,5
0.52,6
0.52,5
0.52,5
0.52,5
0.52,6
0.52,6
0.52,5
0.52,5
0.52,5
0.52,3
0.52,5
0.52,6
0.52,5
0.52,5
0.52,5
0.52,5
0.52,6
0.52,5
0.52,5
0.52,5
0.52,5
0.52,5
0.52,5
0.52,4
0.52,5
0.52,5
0.52,5
0.52,5
0.52,4
0.52,5
0.52,5
0.52,5
0.52,6
0.52,5
0.53,6
0.53,5
0.53,5
0.53,5
0.53,5
0.53,5
0.53,5
0.53,6
0.53,5
0.53,5
0.53,5
0.53,5
0.53,6
0.53,6
0.53,6
0.53,5
0.53,6
0.53,5
0.53,5
0.53,5
0.53,6
0.53,5
0.53,6
0.53,5
0.53,5
0.53,6
0.53,6
0.53,5
0.53,5
0.53,5
0.53,5
0.53,5
0.53,5
0.53,5
0.53,4
0.53,5
0.53,5
0.53,5
0.53,5
0.53,6
0.53,5
0.53,6
0.53,6
0.53,5
0.53,5
0.53,5
0.53,5
0.53,6
0.53,6
0.53,6
0.53,6
0.54,6
0.54,5
0.54,6
0.54,5
0.54,5
0.54,5
0.54,6
0.54,5
0.54,6
0.54,6
0.54,6
0.54,6
0.54,5
0.54,5
0.54,5
0.54,6
0.54,5
0.54,5
0.54,5
0.54,3
0.54,5
0.54,6
0.54,5
0.54,4
0.54,6
0.54,5
0.54,6
0.54,6
0.54,6
0.54,5
0.54,5
0.54,5
0.54,6
0.54,6
0.54,5
0.54,5
0.54,6
0.54,5
0.54,6
0.54,6
0.54,5
0.54,4
0.54,5
0.54,5
0.54,6
0.54,5
0.54,5
0.54,5
0.54,5
0.54,5
0.54,5
0.54,6
0.54,5
0.54,6
0.54,5
0.54,5
0.54,6
0.54,6
0.54,5
0.54,5
0.54,6
0.54,6
0.54,7
0.54,5
0.54,5
0.54,5
0.54,6
0.54,5
0.55,6
0.55,6
0.55,5
0.55,5
0.55,5
0.55,5
0.55,6
0.55,5
0.55,5
0.55,5
0.55,6
0.55,6
0.55,3
0.55,5
0.55,5
0.55,5
0.55,6
0.55,5
0.55,5
0.55,5
0.55,5
0.55,5
0.55,5
0.55,5
0.55,5
0.55,5
0.55,6
0.55,6
0.55,5
0.55,7
0.55,7
0.55,6
0.55,6
0.55,7
0.55,7
0.55,5
0.55,5
0.55,4
0.55,6
0.55,7
0.55,5
0.55,5
0.55,5
0.55,6
0.55,5
0.55,6
0.55,5
0.55,6
0.55,6
0.55,4
0.56,6
0.56,6
0.56,5
0.56,5
0.56,6
0.56,7
0.56,5
0.56,6
0.56,7
0.56,5
0.56,4
0.56,5
0.56,6
0.56,6
0.56,6
0.56,5
0.56,4
0.56,6
0.56,6
0.56,6
0.56,5
0.56,4
0.56,5
0.56,6
0.56,6
0.56,5
0.56,6
0.56,4
0.56,6
0.56,5
0.56,6
0.56,6
0.56,5
0.56,6
0.56,5
0.56,6
0.56,5
0.56,5
0.56,7
0.56,6
0.56,5
0.56,5
0.56,5
0.56,6
0.56,5
0.56,5
0.56,5
0.56,4
0.56,5
0.56,5
0.56,6
0.56,7
0.56,5
0.56,6
0.56,6
0.56,5
0.56,5
0.56,6
0.56,6
0.56,6
0.57,4
0.57,6
0.57,6
0.57,4
0.57,6
0.57,5
0.57,6
0.57,6
0.57,5
0.57,5
0.57,6
0.57,5
0.57,5
0.57,5
0.57,5
0.57,5
0.57,4
0.57,5
0.57,5
0.57,5
0.57,5
0.57,7
0.57,6
0.57,4
0.57,5
0.57,6
0.57,5
0.57,5
0.57,5
0.57,6
0.57,5
0.57,5
0.57,5
0.57,6
0.57,6
0.57,5
0.57,7
0.57,6
0.57,6
0.57,5
0.57,5
0.57,5
0.57,3
0.57,5
0.57,6
0.57,6
0.57,6
0.57,5
0.57,6
0.57,5
0.57,5
0.57,5
0.57,4
0.57,5
0.57,5
0.58,5
0.58,5
0.58,4
0.58,5
0.58,5
0.58,5
0.58,5
0.58,5
0.58,5
0.58,5
0.58,5
0.58,6
0.58,6
0.58,6
0.58,6
0.58,6
0.58,5
0.58,5
0.58,5
0.58,6
0.58,6
0.58,5
0.58,6
0.58,7
0.58,6
0.58,5
0.58,7
0.58,6
0.58,6
0.58,5
0.58,6
0.58,6
0.58,6
0.58,6
0.58,5
0.58,6
0.58,5
0.58,5
0.58,5
0.58,5
0.58,6
0.58,6
0.58,6
0.58,4
0.58,6
0.58,5
0.58,6
0.58,5
0.58,6
0.58,7
0.58,4
0.58,6
0.58,5
0.58,6
0.58,5
0.58,5
0.58,5
0.58,6
0.58,5
0.58,5
0.58,5
0.58,5
0.58,5
0.58,6
0.58,5
0.58,5
0.58,5
0.58,6
0.59,6
0.59,5
0.59,5
0.59,5
0.59,6
0.59,5
0.59,6
0.59,7
0.59,6
0.59,6
0.59,5
0.59,6
0.59,6
0.59,5
0.59,5
0.59,5
0.59,6
0.59,6
0.59,5
0.59,6
0.59,5
0.59,5
0.59,6
0.59,6
0.59,6
0.59,5
0.59,5
0.59,6
0.59,5
0.59,5
0.59,6
0.59,5
0.59,6
0.59,7
0.59,5
0.59,6
0.59,6
0.59,6
0.59,6
0.59,6
0.59,7
0.59,5
0.59,7
0.59,7
0.59,6
0.59,5
0.59,6
0.59,6
0.59,7
0.59,4
0.59,5
0.6,6
0.6,6
0.6,6
0.6,6
0.6,5
0.6,4
0.6,5
0.6,6
0.6,4
0.6,7
0.6,5
0.6,6
0.6,6
0.6,6
0.6,6
0.6,4
0.6,6
0.6,5
0.6,6
0.6,6
0.6,6
0.6,5
0.6,6
0.6,6
0.6,6
0.6,6
0.6,6
0.6,6
0.6,6
0.6,6
0.6,6
0.6,6
0.6,5
0.6,6
0.6,5
0.6,5
0.6,6
0.6,6
0.6,6
0.6,5
0.6,5
0.6,6
0.6,6
0.6,5
0.6,6
0.6,5
0.6,5
0.6,5
0.6,6
0.6,6
0.6,6
0.6,6
0.6,5
0.6,7
0.6,5
0.6,6
0.6,6
0.6,6
0.6,6
0.6,6
0.6,5
0.6,5
0.6,5
0.6,6
0.6,6
