total sulfur dioxide,quality
6.0,6
6.0,5
6.0,5
7.0,4
7.0,7
7.0,5
7.0,6
8.0,6
8.0,5
8.0,7
8.0,4
8.0,6
8.0,6
8.0,4
8.0,6
8.0,5
8.0,6
8.0,5
8.0,7
8.0,7
8.0,6
9.0,7
9.0,5
9.0,3
9.0,7
9.0,5
9.0,6
9.0,7
9.0,6
9.0,6
9.0,6
9.0,6
9.0,4
9.0,6
9.0,4
10.0,5
10.0,7
10.0,6
10.0,6
10.0,7
10.0,7
10.0,6
10.0,5
10.0,6
10.0,7
10.0,7
10.0,6
10.0,7
10.0,7
10.0,7
10.0,7
10.0,7
10.0,7
10.0,7
10.0,6
10.0,4
10.0,7
10.0,7
10.0,6
10.0,7
10.0,6
10.0,5
11.0,5
11.0,6
11.0,7
11.0,6
11.0,5
11.0,7
11.0,5
11.0,4
11.0,7
11.0,6
11.0,6
11.0,6
11.0,6
11.0,5
11.0,7
11.0,6
11.0,3
11.0,5
11.0,6
11.0,5
11.0,5
11.0,6
11.0,5
11.0,6
11.0,5
11.0,5
12.0,8
12.0,5
12.0,5
12.0,5
12.0,5
12.0,5
12.0,6
12.0,4
12.0,7
12.0,5
12.0,6
12.0,6
12.0,6
12.0,5
12.0,5
12.0,5
12.0,4
12.0,5
12.0,5
12.0,6
12.0,3
12.0,6
12.0,6
12.0,7
12.0,7
12.0,7
12.0,7
12.0,5
12.0,5
13.0,8
13.0,6
13.0,4
13.0,5
13.0,8
13.0,5
13.0,5
13.0,5
13.0,5
13.0,6
13.0,6
13.0,4
13.0,7
13.0,5
13.0,6
13.0,5
13.0,7
13.0,5
13.0,7
13.0,5
13.0,4
13.0,5
13.0,4
13.0,6
13.0,6
13.0,5
13.0,5
13.0,6
14.0,3
14.0,6
14.0,6
14.0,4
14.0,5
14.0,5
14.0,6
14.0,6
14.0,6
14.0,5
14.0,5
14.0,7
14.0,7
14.0,6
14.0,5
14.0,7
14.0,4
14.0,5
14.0,5
14.0,4
14.0,6
14.0,7
14.0,5
14.0,6
14.0,4
14.0,6
14.0,6
14.0,6
14.0,6
14.0,3
14.0,6
14.0,6
14.0,6
15.0,6
15.0,6
15.0,6
15.0,5
15.0,5
15.0,7
15.0,6
15.0,6
15.0,6
15.0,6
15.0,5
15.0,5
15.0,6
15.0,6
15.0,7
15.0,5
15.0,5
15.0,6
15.0,7
15.0,5
15.0,5
15.0,5
15.0,7
15.0,5
15.0,6
15.0,7
15.0,6
15.0,5
15.0,6
15.0,6
15.0,5
15.0,6
15.0,7
