alcohol,quality
11.0,3
11.5,3
9.7,3
10.5,3
11.0,3
11.7,3
9.8,3
9.4,3
11.0,3
11.0,3
8.5,3
10.4,3
9.1,3
9.1,3
10.1,3
8.0,3
10.5,3
12.6,3
12.4,3
9.6,3
8.6,4
10.7,4
9.4,4
9.9,4
8.9,4
9.0,4
9.0,4
10.2,4
9.7,4
9.4,4
11.3,4
11.1,4
9.9,4
9.8,4
10.0,4
9.4,4
9.9,4
11.2,4
9.9,4
12.1,4
10.8,4
10.7,4
11.7,4
13.5,4
10.3,4
8.7,4
9.0,4
11.5,4
10.9,4
11.4,4
8.7,4
12.7,4
9.5,4
9.0,4
9.9,4
11.0,4
9.6,4
11.4,4
11.2,4
9.5,4
9.5,4
12.6,4
10.6,4
9.1,4
12.4,4
10.0,4
9.3,4
10.1,4
10.6,4
10.0,4
10.4,4
10.5,4
9.4,4
10.2,4
10.4,4
9.0,4
10.5,4
9.2,4
9.7,4
10.1,4
9.2,4
10.2,4
9.0,4
10.8,4
9.0,4
10.5,4
10.2,4
9.0,4
10.6,4
10.5,4
9.2,4
9.3,4
9.1,4
9.4,4
9.1,4
11.4,4
10.1,4
10.9,4
9.4,4
8.9,4
10.0,4
10.2,4
11.0,4
11.8,4
9.0,4
10.4,4
10.4,4
9.5,4
10.0,4
10.5,4
9.5,4
9.4,4
9.0,4
11.4,4
11.2,4
10.2,4
10.5,4
8.4,4
9.4,4
11.2,4
10.8,4
10.8,4
9.2,4
10.3,4
10.0,4
10.1,4
9.2,4
11.1,4
10.2,4
9.8,4
10.3,4
12.5,4
9.5,4
12.0,4
9.8,4
11.6,4
11.7,4
11.6,4
11.2,4
10.1,4
11.2,4
10.2,4
10.1,4
10.1,4
9.4,4
9.2,4
9.4,4
10.0,4
10.0,4
10.5,4
9.55,4
8.8,4
11.1,4
10.4,4
10.2,4
10.1,4
11.4,4
9.6,4
12.9,4
9.5,4
9.7,4
12.2,4
9.7,4
10.5,4
9.3,4
9.0,4
10.2,4
9.2,4
8.6,4
9.7,4
11.5,4
8.9,4
8.8,4
10.4,4
11.6,4
9.5,4
8.6,4
9.2,4
8.6,4
10.6,4
11.5,4
9.5,4
9.8,4
9.0,5
9.9,5
10.3,5
12.0,5
9.9,5
9.0,5
8.8,5
9.5,5
9.2,5
10.2,5
10.6,5
9.2,5
10.3,5
9.7,5
9.2,5
11.2,5
9.5,5
11.0,5
10.7,5
9.3,5
8.9,5
10.0,5
9.0,5
12.1,5
11.4,5
8.8,5
11.4,5
9.6,5
9.4,5
8.4,5
9.2,5
9.2,5
9.6,5
9.2,5
11.4,5
10.6,5
9.6,5
9.4,5
10.0,5
9.0,5
11.1,5
10.0,5
11.4,5
9.2,5
10.7,5
9.6,5
10.0,5
9.1,5
11.7,5
9.1,5
9.2,5
10.4,5
10.6,5
10.8,5
11.0,5
9.2,5
8.8,5
10.1,5
10.1,5
10.3,5
10.4,5
9.5,5
11.5,5
9.0,5
9.0,5
9.2,5
9.7,5
9.2,5
9.3,5
9.2,5
10.2,5
9.9,5
12.2,5
9.4,5
9.2,5
9.2,5
10.6,5
10.8,5
10.6,5
9.2,5
9.4,5
11.5,5
10.0,5
10.3,5
10.9,5
9.4,5
10.9,5
9.5,5
9.4,5
9.5,5
9.5,5
10.8,5
11.4,5
11.2,5
9.6,5
10.4,5
9.1,5
9.3,5
9.3,5
9.4,5
8.7,5
9.7,5
10.5,5
10.1,5
8.8,5
8.8,5
9.7,5
11.6,5
10.6,5
9.2,5
9.4,5
8.8,5
10.5,5
9.0,5
10.4,5
10.8,5
9.3,5
9.4,5
10.1,5
9.4,5
9.3,5
10.5,5
9.5,5
10.5,5
9.5,5
9.3,5
9.7,5
10.1,5
9.6,5
10.9,5
11.4,5
8.4,5
10.0,5
11.4,5
8.7,5
9.2,5
10.2,5
8.9,5
9.5,5
11.6,5
11.9,5
9.5,5
9.5,5
9.4,5
9.5,5
9.5,5
9.4,5
9.4,5
9.0,5
9.5,5
9.4,5
10.0,5
10.0,5
10.4,5
9.3,5
9.7,5
10.0,5
10.0,5
10.4,5
11.3,5
10.6,5
9.0,5
9.2,5
10.4,5
10.0,5
10.5,5
9.1,5
8.8,5
10.7,5
11.0,5
12.7,5
9.7,5
10.7,5
13.4,5
10.1,5
9.5,5
9.5,5
11.0,5
9.4,5
10.3,5
10.0,5
10.4,5
9.1,5
9.5,5
9.3,5
10.6,5
9.2,5
9.3,5
9.5,5
11.5,5
10.0,5
9.6,5
9.5,5
9.4,5
9.3,5
9.7,5
9.4,5
10.5,5
9.0,5
11.4,5
8.9,5
8.9,5
9.6,5
9.2,5
10.0,5
12.0,5
10.9,5
10.8,5
9.1,5
10.8,5
11.3,5
9.1,5
10.8,5
9.8,5
8.6,5
9.2,5
10.4,5
9.4,5
9.0,5
9.4,5
9.1,5
9.5,5
11.5,5
9.6,5
9.5,5
9.6,5
10.4,5
10.7,5
9.9,5
9.1,5
9.0,5
10.1,5
11.5,5
9.5,5
9.2,5
9.2,5
10.4,5
9.1,5
12.1,5
9.1,5
9.1,5
10.2,5
9.5,5
9.4,5
8.8,5
10.9,5
10.8,5
11.4,5
9.5,5
9.2,5
9.0,5
10.5,5
9.3,5
9.5,5
10.5,5
10.5,5
8.9,5
9.6,5
8.9,5
11.0,5
9.5,5
9.5,5
10.4,5
10.4,5
9.7,5
9.7,5
9.3,5
9.2,5
12.0,5
9.4,5
8.9,5
8.9,5
9.5,5
9.3,5
9.5,5
10.6,5
8.9,5
9.7,5
9.0,5
10.5,5
10.7,5
9.0,5
10.4,5
9.9,5
9.8,5
10.0,5
8.5,5
10.9,5
9.3,5
9.7,5
10.6,5
10.4,5
9.3,5
10.4,5
10.4,5
9.7,5
9.0,5
9.5,5
9.5,5
9.4,5
10.4,5
9.0,5
12.5,5
8.6,5
9.7,5
9.2,5
8.9,5
9.9,5
9.9,5
9.5,5
9.4,5
8.6,5
10.7,5
11.4,5
9.3,5
8.6,5
10.4,5
12.0,5
9.3,5
9.0,5
8.8,5
10.7,5
9.5,5
10.0,5
10.0,5
9.0,5
10.4,5
11.4,5
9.5,5
9.0,5
10.0,5
8.7,5
10.0,5
8.8,5
11.4,5
11.9,5
9.4,5
9.6,5
10.4,5
9.8,5
9.6,5
9.8,5
10.0,5
9.1,5
9.4,5
9.1,5
10.8,5
10.5,5
9.8,5
9.6,5
9.6,5
9.6,5
10.0,5
10.3,5
9.1,5
9.9,5
11.5,5
10.2,5
9.4,5
9.1,5
10.0,5
8.9,5
8.8,5
8.8,5
9.3,5
9.4,5
8.6,5
12.0,5
9.3,5
10.6,5
8.8,5
9.3,5
9.1,5
13.0,5
10.0,5
12.4,5
10.9,5
10.6,5
11.1,5
8.8,5
12.5,5
9.1,5
8.9,5
9.2,5
10.2,5
9.0,5
10.1,5
8.9,5
10.2,5
10.7,5
11.8,5
9.8,5
8.8,5
11.0,5
10.5,5
9.2,5
9.0,5
10.0,5
10.4,5
9.0,5
10.7,5
9.0,5
11.4,5
10.6,5
10.0,5
11.1,5
9.3,5
11.1,5
9.4,5
9.1,5
10.2,5
10.0,5
10.0,5
10.0,5
9.7,5
9.2,5
11.1,5
9.0,5
9.2,5
10.1,5
9.2,5
11.8,5
8.9,5
10.1,5
9.3,5
9.3,5
11.8,5
10.8,5
12.9,5
9.0,5
9.7,5
9.8,5
8.8,5
9.1,5
8.9,5
9.4,5
10.4,5
10.5,5
11.4,5
10.2,5
9.5,5
9.2,5
9.2,5
9.7,5
8.9,5
9.7,5
10.2,5
10.3,5
9.4,5
