alcohol,quality
11.0,1
11.5,1
9.7,1
10.5,1
11.0,1
11.7,1
9.8,1
9.4,1
11.0,1
11.0,1
8.5,1
10.4,1
9.1,1
9.1,1
10.1,1
8.0,1
10.5,1
12.6,1
12.4,1
9.6,1
8.6,2
10.7,2
9.4,2
9.9,2
8.9,2
9.0,2
9.0,2
10.2,2
9.7,2
9.4,2
11.3,2
11.1,2
9.9,2
9.8,2
10.0,2
9.4,2
9.9,2
11.2,2
9.9,2
12.1,2
10.8,2
10.7,2
11.7,2
13.5,2
10.3,2
8.7,2
9.0,2
11.5,2
10.9,2
11.4,2
8.7,2
12.7,2
9.5,2
9.0,2
9.9,2
11.0,2
9.6,2
11.4,2
11.2,2
9.5,2
9.5,2
12.6,2
10.6,2
9.1,2
12.4,2
10.0,2
9.3,2
10.1,2
10.6,2
10.0,2
10.4,2
10.5,2
9.4,2
10.2,2
10.4,2
9.0,2
10.5,2
9.2,2
9.7,2
10.1,2
9.2,2
10.2,2
9.0,2
10.8,2
9.0,2
10.5,2
10.2,2
9.0,2
10.6,2
10.5,2
9.2,2
9.3,2
9.1,2
9.4,2
9.1,2
11.4,2
10.1,2
10.9,2
9.4,2
8.9,2
10.0,2
10.2,2
11.0,2
11.8,2
9.0,2
10.4,2
10.4,2
9.5,2
10.0,2
10.5,2
9.5,2
9.4,2
9.0,2
11.4,2
11.2,2
10.2,2
10.5,2
8.4,2
9.4,2
11.2,2
10.8,2
10.8,2
9.2,2
10.3,2
10.0,2
10.1,2
9.2,2
11.1,2
10.2,2
9.8,2
10.3,2
12.5,2
9.5,2
12.0,2
9.8,2
11.6,2
11.7,2
11.6,2
11.2,2
10.1,2
11.2,2
10.2,2
10.1,2
10.1,2
9.4,2
9.2,2
9.4,2
10.0,2
10.0,2
10.5,2
9.55,2
8.8,2
11.1,2
10.4,2
10.2,2
10.1,2
11.4,2
9.6,2
12.9,2
9.5,2
9.7,2
12.2,2
9.7,2
10.5,2
9.3,2
9.0,2
10.2,2
9.2,2
8.6,2
9.7,2
11.5,2
8.9,2
8.8,2
10.4,2
11.6,2
9.5,2
8.6,2
9.2,2
8.6,2
10.6,2
11.5,2
9.5,2
9.8,2
9.0,3
9.9,3
10.3,3
12.0,3
9.9,3
9.0,3
8.8,3
9.5,3
9.2,3
10.2,3
10.6,3
9.2,3
10.3,3
9.7,3
9.2,3
11.2,3
9.5,3
11.0,3
10.7,3
9.3,3
8.9,3
10.0,3
9.0,3
12.1,3
11.4,3
8.8,3
11.4,3
9.6,3
9.4,3
8.4,3
9.2,3
9.2,3
9.6,3
9.2,3
11.4,3
10.6,3
9.6,3
9.4,3
10.0,3
9.0,3
11.1,3
10.0,3
11.4,3
9.2,3
10.7,3
9.6,3
10.0,3
9.1,3
11.7,3
9.1,3
9.2,3
10.4,3
10.6,3
10.8,3
11.0,3
9.2,3
8.8,3
10.1,3
10.1,3
10.3,3
10.4,3
9.5,3
